Sender: LSF System <lsfadmin@c-195-34>
Subject: Job 974030: <python Bayes_MAP.py --MAP> in cluster <killdevil> Done

Job <python Bayes_MAP.py --MAP> was submitted from host <killdevil-login2> by user <wcstrick> in cluster <killdevil>.
Job was executed on host(s) <12*c-195-34>, in queue <week>, as user <wcstrick> in cluster <killdevil>.
</nas02/home/w/c/wcstrick> was used as the home directory.
</nas02/home/w/c/wcstrick/Parasitoids_h_2/analytic> was used as the working directory.
Started at Mon Aug  8 12:29:23 2016
Results reported on Tue Aug  9 02:09:49 2016

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
python Bayes_MAP.py --MAP
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :                                   421153.84 sec.
15.5 sec./model at 14:26:39 08/08/2016
15.5 sec./model at 14:26:55 08/08/2016
15.5 sec./model at 14:27:10 08/08/2016
15.5 sec./model at 14:27:26 08/08/2016
15.6 sec./model at 14:27:41 08/08/2016
15.5 sec./model at 14:27:57 08/08/2016
15.5 sec./model at 14:28:12 08/08/2016
15.5 sec./model at 14:28:28 08/08/2016
15.5 sec./model at 14:28:43 08/08/2016
15.5 sec./model at 14:28:59 08/08/2016
15.5 sec./model at 14:29:14 08/08/2016
15.5 sec./model at 14:29:30 08/08/2016
15.5 sec./model at 14:29:45 08/08/2016
15.6 sec./model at 14:30:01 08/08/2016
15.5 sec./model at 14:30:17 08/08/2016
15.6 sec./model at 14:30:32 08/08/2016
15.5 sec./model at 14:30:48 08/08/2016
15.5 sec./model at 14:31:03 08/08/2016
15.6 sec./model at 14:31:19 08/08/2016
15.5 sec./model at 14:31:34 08/08/2016
15.5 sec./model at 14:31:50 08/08/2016
15.5 sec./model at 14:32:05 08/08/2016
15.6 sec./model at 14:32:21 08/08/2016
15.5 sec./model at 14:32:37 08/08/2016
15.5 sec./model at 14:32:52 08/08/2016
15.5 sec./model at 14:33:08 08/08/2016
15.5 sec./model at 14:33:23 08/08/2016
15.5 sec./model at 14:33:39 08/08/2016
15.5 sec./model at 14:33:54 08/08/2016
15.6 sec./model at 14:34:10 08/08/2016
15.5 sec./model at 14:34:26 08/08/2016
15.5 sec./model at 14:34:41 08/08/2016
15.5 sec./model at 14:34:57 08/08/2016
15.5 sec./model at 14:35:12 08/08/2016
15.5 sec./model at 14:35:28 08/08/2016
15.6 sec./model at 14:35:43 08/08/2016
15.5 sec./model at 14:35:59 08/08/2016
15.6 sec./model at 14:36:14 08/08/2016
15.5 sec./model at 14:36:30 08/08/2016
15.6 sec./model at 14:36:45 08/08/2016
15.5 sec./model at 14:37:01 08/08/2016
15.5 sec./model at 14:37:17 08/08/2016
BndsErr caught. at 14:37:19 08/08/2016
16.7 sec./model at 14:37:36 08/08/2016
15.5 sec./model at 14:37:51 08/08/2016
15.5 sec./model at 14:38:07 08/08/2016
15.6 sec./model at 14:38:22 08/08/2016
15.5 sec./model at 14:38:38 08/08/2016
15.5 sec./model at 14:38:54 08/08/2016
15.6 sec./model at 14:39:09 08/08/2016
15.5 sec./model at 14:39:25 08/08/2016
15.5 sec./model at 14:39:40 08/08/2016
15.5 sec./model at 14:39:56 08/08/2016
15.6 sec./model at 14:40:11 08/08/2016
15.5 sec./model at 14:40:27 08/08/2016
15.5 sec./model at 14:40:42 08/08/2016
15.5 sec./model at 14:40:58 08/08/2016
15.5 sec./model at 14:41:13 08/08/2016
15.5 sec./model at 14:41:29 08/08/2016
15.5 sec./model at 14:41:44 08/08/2016
15.5 sec./model at 14:42:00 08/08/2016
15.5 sec./model at 14:42:16 08/08/2016
15.5 sec./model at 14:42:31 08/08/2016
15.6 sec./model at 14:42:47 08/08/2016
15.5 sec./model at 14:43:02 08/08/2016
15.5 sec./model at 14:43:18 08/08/2016
15.5 sec./model at 14:43:33 08/08/2016
15.5 sec./model at 14:43:49 08/08/2016
15.5 sec./model at 14:44:04 08/08/2016
